"customername","customerkey","gender","yearlyincome","city","country","state"
"Claudia He",24093,"F","80000.00","Runcorn","United Kingdom","England"
"Julio Diaz",24094,"M","30000.00","Cambridge","United Kingdom","England"
"Julie Andersen",24095,"F","30000.00","Versailles","France","Yveline"
"Diana Vazquez",24096,"F","30000.00","Roissy en Brie","France","Seine et Marne"
"Francisco Fernandez",24097,"M","30000.00","Berlin","Germany","Hamburg"
"Olivia Howard",24098,"F","30000.00","Darmstadt","Germany","Hessen"
"Sarah Smith",24099,"F","30000.00","Erlangen","Germany","Bayern"
"Jenny He",24100,"F","40000.00","London","United Kingdom","England"
"Kaitlyn Anderson",24101,"F","40000.00","Watford","United Kingdom","England"
"Andy Torres",24102,"M","40000.00","Mühlheim","Germany","Hamburg"
"Billy Dominguez",24103,"M","40000.00","München","Germany","Nordrhein-Westfalen"
"Robyn Ortega",24104,"F","40000.00","Runcorn","United Kingdom","England"
"Carolyn Sanchez",24105,"F","30000.00","Versailles","France","Yveline"
"Kelvin Shan",24106,"M","30000.00","Villeneuve-d'Ascq","France","Nord"
"Jonathan Jenkins",24107,"M","30000.00","Erlangen","Germany","Bayern"
"Tonya Lal",24108,"F","20000.00","Kiel","Germany","Saarland"
"Eddie Suarez",24109,"M","20000.00","Paris","France","Seine (Paris)"
"Kaylee Brooks",24110,"F","20000.00","Drancy","France","Seine Saint Denis"
"Cameron Long",24111,"M","20000.00","Drancy","France","Seine Saint Denis"
"Mary Foster",24112,"F","40000.00","Warrington","United Kingdom","England"
"Stephanie Green",24113,"F","30000.00","Versailles","France","Yveline"
"Kristin Yuan",24114,"F","30000.00","Stoke-on-Trent","United Kingdom","England"
"Gary Carlson",24115,"M","40000.00","Liverpool","United Kingdom","England"
"Pedro Martinez",24116,"M","40000.00","Paris","France","Seine (Paris)"
"Shannon Gill",24117,"M","30000.00","Berlin","Germany","Nordrhein-Westfalen"
"Donna Chande",24118,"F","30000.00","Paris La Defense","France","Hauts de Seine"
"Emmanuel Kapoor",24119,"M","30000.00","Roissy en Brie","France","Seine et Marne"
"Kaitlyn Allen",24120,"F","30000.00","Kassel","Germany","Hessen"
"Valerie Liu",24121,"F","30000.00","Poing","Germany","Saarland"
"Michele Blanco",24122,"F","20000.00","Saint Ouen","France","Somme"
"Heather Hu",24123,"F","20000.00","Drancy","France","Seine Saint Denis"
"Erik Vazquez",24124,"M","20000.00","Pantin","France","Seine Saint Denis"
"Tiffany Xu",24125,"F","20000.00","Paris","France","Seine (Paris)"
"Pedro Mehta",24126,"M","20000.00","Verrieres Le Buisson","France","Essonne"
"James Washington",24127,"M","30000.00","Saarlouis","Germany","Saarland"
"Kimberly Ramirez",24128,"F","30000.00","Solingen","Germany","Nordrhein-Westfalen"
"Jamie Gutierrez",24129,"M","10000.00","Frankfurt","Germany","Hessen"
"Tanya Navarro",24130,"F","10000.00","Paderborn","Germany","Hamburg"
"Felicia Rubio",24131,"F","20000.00","Orly","France","Val de Marne"
"Devon Tang",24132,"M","20000.00","Woolston","United Kingdom","England"
"Carla Patel",24133,"F","20000.00","Paris","France","Seine (Paris)"
"Edgar Kapoor",24134,"M","20000.00","Paris","France","Seine (Paris)"
"Martin Martinez",24135,"M","30000.00","Paris La Defense","France","Hauts de Seine"
"Alisha Hu",24136,"F","30000.00","Roncq","France","Nord"
"Tara Sharma",24137,"F","30000.00","Poing","Germany","Saarland"
"Kristy Gutierrez",24138,"F","40000.00","Stoke-on-Trent","United Kingdom","England"
"Andrew Williams",24139,"M","10000.00","Frankfurt","Germany","Hessen"
"Alvin Lin",24140,"M","10000.00","Paris","France","Seine (Paris)"
"Misty Nath",24141,"F","10000.00","Paris","France","Seine (Paris)"
"Christian Davis",24142,"M","10000.00","Versailles","France","Yveline"
"Stanley Mehta",24143,"M","10000.00","Darmstadt","Germany","Hessen"
"Gerald Sanchez",24144,"M","20000.00","London","United Kingdom","England"
"Cheryl Serrano",24145,"F","20000.00","Wokingham","United Kingdom","England"
"Craig Suarez",24146,"M","20000.00","Orleans","France","Loiret"
"Kathleen Hernandez",24147,"F","20000.00","Stuttgart","Germany","Saarland"
"Brittney Zhou",24148,"F","10000.00","Bonn","Germany","Hamburg"
"Richard Simmons",24149,"M","10000.00","Saint-Denis","France","Seine Saint Denis"
"Jack Campbell",24150,"M","10000.00","Bottrop","Germany","Nordrhein-Westfalen"
"Jon Shan",24151,"M","20000.00","York","United Kingdom","England"
"Casey Rubio",24152,"M","20000.00","Bury","United Kingdom","England"
"Seth Jenkins",24153,"M","20000.00","Versailles","France","Yveline"
"Orlando Ramos",24154,"M","30000.00","York","United Kingdom","England"
"Tracy Raje",24155,"F","20000.00","Paderborn","Germany","Hamburg"
"Wesley Zhou",24156,"M","20000.00","Sulzbach Taunus","Germany","Saarland"
"Marie Subram",24157,"F","10000.00","Cergy","France","Val d'Oise"
"Omar Deng",24158,"M","10000.00","Lille","France","Nord"
"Christine Luo",24159,"F","10000.00","Brisbane","Australia","Queensland"
"Carl Yuan",24160,"M","10000.00","Matraville","Australia","New South Wales"
"Luke Kumar",24161,"M","10000.00","Goulburn","Australia","New South Wales"
"Grant Raje",24162,"M","10000.00","Malabar","Australia","New South Wales"
"Micah Guo",24163,"M","10000.00","Cranbourne","Australia","Victoria"
"Teresa Gomez",24164,"F","10000.00","Cloverdale","Australia","South Australia"
"Gilbert Gao",24165,"M","10000.00","Wollongong","Australia","New South Wales"
"Renee Alonso",24166,"F","10000.00","Port Macquarie","Australia","New South Wales"
"Lacey Zhu",24167,"F","10000.00","Melton","Australia","Victoria"
"Manuel Srini",24168,"M","10000.00","Sunbury","Australia","Victoria"
"Lydia Martinez",24169,"F","10000.00","Findon","Australia","South Australia"
"Jaime Hernandez",24170,"F","10000.00","Findon","Australia","South Australia"
"Jarrod Chandra",24171,"M","10000.00","Findon","Australia","South Australia"
"Jessie Hernandez",24172,"F","10000.00","Melton","Australia","Victoria"
"Lacey Wang",24173,"F","20000.00","Rockhampton","Australia","Queensland"
"Keith Chander",24174,"M","20000.00","Warrnambool","Australia","Victoria"
"Lacey Luo",24175,"F","20000.00","Rockhampton","Australia","Queensland"
"Marie Jimenez",24176,"F","20000.00","East Brisbane","Australia","Queensland"
"Gina Gill",24177,"F","20000.00","Goulburn","Australia","New South Wales"
"Clifford Sara",24178,"M","20000.00","Hobart","Australia","Tasmania"
"Robyn Blanco",24179,"F","20000.00","Lavender Bay","Australia","New South Wales"
"Arturo Jai",24180,"M","20000.00","Berlin","Germany","Hamburg"
"Edwin Nath",24181,"M","20000.00","Bonn","Germany","Nordrhein-Westfalen"
"Nancy Lopez",24182,"F","30000.00","Saarlouis","Germany","Saarland"
"Ruth Perez",24183,"F","30000.00","Suresnes","France","Hauts de Seine"
"Alexandra Jackson",24184,"F","30000.00","Oxford","United Kingdom","England"
"Tara She",24185,"F","10000.00","Saint-Denis","France","Seine Saint Denis"
"Theodore Alonso",24186,"M","20000.00","Oxford","United Kingdom","England"
"Daisy Serrano",24187,"F","30000.00","Stoke-on-Trent","United Kingdom","England"
"Charles Turner",24188,"M","20000.00","Cheltenham","United Kingdom","England"
"Andre Suri",24189,"M","30000.00","Oxford","United Kingdom","England"
"Austin Chen",24190,"M","20000.00","Bobigny","France","Seine Saint Denis"
"Marshall He",24191,"M","30000.00","Kiel","Germany","Saarland"
"Regina Prasad",24192,"F","30000.00","Esher-Molesey","United Kingdom","England"
"Louis Becker",24193,"M","30000.00","London","United Kingdom","England"
"Armando Martin",24194,"M","30000.00","Roissy en Brie","France","Seine et Marne"
"Dawn Zhao",24195,"F","10000.00","Orleans","France","Loiret"
"Armando Gill",24196,"M","10000.00","Colomiers","France","Garonne (Haute)"
"Whitney Mehta",24197,"F","20000.00","Warrington","United Kingdom","England"
"Chelsea Madan",24198,"F","30000.00","Saint-Denis","France","Seine Saint Denis"
"Veronica Prasad",24199,"F","40000.00","Milton Keynes","United Kingdom","England"
"Grant Jai",24200,"M","40000.00","West Sussex","United Kingdom","England"
"Olivia Gonzales",24201,"F","10000.00","Chatou","France","Yveline"
"Tamara Black",24202,"F","20000.00","Warrington","United Kingdom","England"
"Keith Xie",24203,"M","30000.00","Paris","France","Seine (Paris)"
"Darren Gonzalez",24204,"M","30000.00","München","Germany","Hamburg"
"Katherine Anderson",24205,"F","30000.00","Erlangen","Germany","Bayern"
"Marie Munoz",24206,"F","40000.00","Kiel","Germany","Saarland"
"Stacey Guo",24207,"F","10000.00","Warrington","United Kingdom","England"
"Sabrina Diaz",24208,"F","40000.00","Paris","France","Seine (Paris)"
"Chelsea Jordan",24209,"F","60000.00","Saint Ouen","France","Charente-Maritime"
"Ricardo Shan",24210,"M","60000.00","Kiel","Germany","Saarland"
"Sharon Shan",24211,"F","60000.00","Peterborough","United Kingdom","England"
"Tony Raje",24212,"M","10000.00","W. York","United Kingdom","England"
"Martin Rana",24213,"M","10000.00","Reading","United Kingdom","England"
"Michele Romero",24214,"F","20000.00","Paderborn","Germany","Nordrhein-Westfalen"
"Lisa Xu",24215,"F","10000.00","München","Germany","Hamburg"
"Tara Black",24216,"F","10000.00","Reading","United Kingdom","England"
"Lauren Morgan",24217,"F","10000.00","Cheltenham","United Kingdom","England"
"Bryant Lopez",24218,"M","20000.00","Newcastle upon Tyne","United Kingdom","England"
"Tina Lopez",24219,"F","30000.00","Orleans","France","Loiret"
"Hunter Edwards",24220,"M","90000.00","Port Hammond","Canada","British Columbia"
"Heidi Perez",24221,"F","130000.00","Burbank","United States","California"
"Sierra Green",24222,"F","40000.00","Lebanon","United States","Oregon"
"Abigail Alexander",24223,"F","40000.00","Milwaukie","United States","Oregon"
"Nicole Perry",24224,"F","40000.00","Seattle","United States","Washington"
"Jeffery Yang",24225,"M","40000.00","Berkeley","United States","California"
"Brian Morris",24226,"M","40000.00","Downey","United States","California"
"Sara Phillips",24227,"F","40000.00","El Cajon","United States","California"
"Terry Xu",24228,"M","20000.00","Port Macquarie","Australia","New South Wales"
"Pedro Kapoor",24229,"M","20000.00","Seaford","Australia","Victoria"
"Andres Sharma",24230,"M","20000.00","Springwood","Australia","New South Wales"
"Makayla Cox",24231,"F","60000.00","San Gabriel","United States","California"
"Ryan Johnson",24232,"M","60000.00","West Covina","United States","California"
"Jada Parker",24233,"F","70000.00","West Covina","United States","California"
"Eduardo Martinez",24234,"M","70000.00","West Covina","United States","California"
"Jill Martinez",24235,"F","40000.00","Langford","Canada","British Columbia"
"Isabella Nelson",24236,"F","30000.00","Edmonds","United States","Washington"
"Chloe Henderson",24237,"F","30000.00","Kirkland","United States","Washington"
"Sean Richardson",24238,"M","60000.00","Berkeley","United States","California"
"Miguel Hernandez",24239,"M","60000.00","Imperial Beach","United States","California"
"Edwin Hu",24240,"M","10000.00","Newcastle","Australia","New South Wales"
"Colin Zhao",24241,"M","20000.00","North Ryde","Australia","New South Wales"
"Amy Zeng",24242,"F","30000.00","Hervey Bay","Australia","Queensland"
"Karen Lin",24243,"F","30000.00","Seaford","Australia","Victoria"
"Oscar Jenkins",24416,"M","90000.00","Salem","United States","Oregon"
"Anne Serrano",24244,"F","40000.00","Perth","Australia","South Australia"
"Omar Liang",24245,"M","10000.00","Caloundra","Australia","Queensland"
"Victor Ramos",24246,"M","10000.00","Darlinghurst","Australia","New South Wales"
"George Sara",24247,"M","20000.00","Findon","Australia","South Australia"
"Jake Lin",24248,"M","20000.00","Melton","Australia","Victoria"
"Jesse Howard",24249,"M","30000.00","Port Macquarie","Australia","New South Wales"
"Carmen Suri",24250,"F","30000.00","Rhodes","Australia","New South Wales"
"Jay Browning",24251,"M","30000.00","St. Leonards","Australia","New South Wales"
"Jaclyn Xu",24252,"F","30000.00","Wollongong","Australia","New South Wales"
"Fernando Wood",24253,"M","10000.00","Hervey Bay","Australia","Queensland"
"Emily Washington",24254,"F","70000.00","San Diego","United States","California"
"Chloe Lee",24255,"F","40000.00","Cliffside","Canada","British Columbia"
"Kayla Barnes",24256,"F","40000.00","N. Vancouver","Canada","British Columbia"
"Alan Shen",24257,"M","20000.00","Sydney","Australia","New South Wales"
"Hailey Edwards",24258,"F","40000.00","Vancouver","Canada","British Columbia"
"Gavin Price",24259,"M","40000.00","Bremerton","United States","Washington"
"Blake Perry",24260,"M","40000.00","Sedro Woolley","United States","Washington"
"Emma Jones",24261,"F","60000.00","Concord","United States","California"
"Daniel Thomas",24262,"M","60000.00","La Jolla","United States","California"
"Brooke Brooks",24263,"F","60000.00","La Jolla","United States","California"
"Richard Long",24264,"M","70000.00","Newport Beach","United States","California"
"Seth McDonald",24265,"M","70000.00","Novato","United States","California"
"Melvin Chander",24266,"M","20000.00","Milsons Point","Australia","New South Wales"
"Jésus Hernandez",24267,"M","10000.00","Townsville","Australia","Queensland"
"Meredith Gill",24268,"F","10000.00","Lane Cove","Australia","New South Wales"
"Todd Lu",24269,"M","10000.00","Geelong","Australia","Victoria"
"Latasha Ortega",24270,"F","20000.00","Coffs Harbour","Australia","New South Wales"
"Leonard Shen",24271,"M","20000.00","Caloundra","Australia","Queensland"
"Martha Wang",24272,"F","20000.00","Silverwater","Australia","New South Wales"
"Monique Sanz",24273,"F","20000.00","Sydney","Australia","New South Wales"
"Shaun Shan",24274,"M","20000.00","Townsville","Australia","Queensland"
"Lucas Rivera",24275,"M","30000.00","Palo Alto","United States","California"
"Kaitlyn Nelson",24276,"F","20000.00","Sydney","Australia","New South Wales"
"Donald Kovár",24277,"M","20000.00","Goulburn","Australia","New South Wales"
"Cedric Xu",24278,"M","40000.00","East Brisbane","Australia","Queensland"
"Angel Nelson",24279,"M","40000.00","Rockhampton","Australia","Queensland"
"Peter Shan",24280,"M","40000.00","Silverwater","Australia","New South Wales"
"Marie Suri",24281,"F","40000.00","Milsons Point","Australia","New South Wales"
"Damien Raji",24282,"M","80000.00","Malabar","Australia","New South Wales"
"Aimee Zheng",24283,"F","80000.00","Townsville","Australia","Queensland"
"Melissa Sanders",24284,"F","40000.00","Victoria","Canada","British Columbia"
"Jesse Cox",24285,"M","40000.00","Burien","United States","Washington"
"Kelvin Goel",24286,"M","40000.00","Chula Vista","United States","California"
"John Martinez",24287,"M","40000.00","Chula Vista","United States","California"
"Pedro Gomez",24288,"M","40000.00","Concord","United States","California"
"Robert Gonzalez",24289,"M","60000.00","Grossmont","United States","California"
"Zoe Bell",24290,"F","50000.00","Bellingham","United States","Washington"
"Eduardo Garcia",24291,"M","50000.00","Bellingham","United States","Washington"
"Mackenzie Brooks",24292,"F","50000.00","Glendale","United States","California"
"Anna Rivera",24293,"F","50000.00","Lincoln Acres","United States","California"
"Luis Yang",24294,"M","50000.00","Portland","United States","Oregon"
"Natalie Barnes",24295,"F","60000.00","Palo Alto","United States","California"
"Amanda Gonzalez",24296,"F","70000.00","Fremont","United States","California"
"Victoria Cox",24297,"F","60000.00","Imperial Beach","United States","California"
"Robert Yang",24298,"M","60000.00","Palo Alto","United States","California"
"Andrea Gray",24299,"F","60000.00","Downey","United States","California"
"Naomi Gomez",24300,"F","80000.00","Melbourne","Australia","Victoria"
"Tasha Rai",24301,"F","70000.00","Hobart","Australia","Tasmania"
"Cesar Kapoor",24302,"M","70000.00","Sydney","Australia","New South Wales"
"Megan Diaz",24303,"F","70000.00","Wollongong","Australia","New South Wales"
"Beth Serrano",24304,"F","100000.00","Milsons Point","Australia","New South Wales"
"Warren Chow",24305,"M","100000.00","Perth","Australia","South Australia"
"Molly Chandra",24306,"F","100000.00","Springwood","Australia","New South Wales"
"Tina Sara",24307,"F","100000.00","Milsons Point","Australia","New South Wales"
"Destiny Sanders",24308,"F","80000.00","Woodburn","United States","Oregon"
"Ethan Williams",24309,"M","50000.00","Shawnee","Canada","British Columbia"
"Gabrielle Peterson",24310,"F","50000.00","Shawnee","Canada","British Columbia"
"Geoffrey Patel",24311,"M","60000.00","Burien","United States","Washington"
"Austin Martin",24312,"M","60000.00","Everett","United States","Washington"
"Taylor Brooks",24313,"F","60000.00","Lake Oswego","United States","Oregon"
"Bryan Howard",24314,"M","120000.00","Daly City","United States","California"
"Edward Scott",24315,"M","130000.00","El Cajon","United States","California"
"Rachel Diaz",24316,"F","130000.00","Grossmont","United States","California"
"Devin Thomas",24317,"M","130000.00","Newport Beach","United States","California"
"Luis Long",24318,"M","130000.00","San Diego","United States","California"
"Benjamin Clark",24319,"M","70000.00","Lynnwood","United States","Washington"
"Joshua White",24320,"M","70000.00","Beaverton","United States","Oregon"
"Gabriel Scott",24321,"M","40000.00","Renton","United States","Washington"
"Alexandra Evans",24322,"F","60000.00","Royal Oak","Canada","British Columbia"
"Janet Wright",24323,"F","60000.00","Lincoln Acres","United States","California"
"Jennifer Reed",24324,"F","60000.00","Downey","United States","California"
"Jason Perry",24325,"M","60000.00","West Covina","United States","California"
"Adam Bryant",24326,"M","60000.00","Woodburn","United States","Oregon"
"Evan Rogers",24327,"M","60000.00","Yakima","United States","Washington"
"Melissa Simmons",24328,"F","60000.00","National City","United States","California"
"Abigail Cooper",24329,"F","70000.00","Portland","United States","Oregon"
"Jessica Bennett",24330,"F","70000.00","Chula Vista","United States","California"
"Carson Powell",24331,"M","70000.00","Imperial Beach","United States","California"
"Abigail Thompson",24332,"F","60000.00","Metchosin","Canada","British Columbia"
"Ann Prasad",24333,"F","70000.00","Burien","United States","Washington"
"Alexa James",24334,"F","70000.00","Novato","United States","California"
"Richard Wright",24335,"M","70000.00","Lynnwood","United States","Washington"
"Gabrielle Wright",24336,"F","70000.00","Milwaukie","United States","Oregon"
"Noah Alexander",24337,"M","70000.00","Edmonds","United States","Washington"
"Shannon Zeng",24338,"F","40000.00","Burbank","United States","California"
"Jennifer Price",24339,"F","40000.00","Newport Beach","United States","California"
"Chloe Clark",24340,"F","40000.00","Palo Alto","United States","California"
"Wyatt Jones",24341,"M","60000.00","Coronado","United States","California"
"Evan Campbell",24342,"M","60000.00","Sooke","Canada","British Columbia"
"Tyler Harris",24343,"M","40000.00","Fremont","United States","California"
"Wayne Chander",24344,"M","50000.00","Cliffside","Canada","British Columbia"
"Riley Cox",24345,"F","60000.00","W. Linn","United States","Oregon"
"Giorgio Veronesi",24346,"F","60000.00","Burlingame","United States","California"
"Tina Madan",24347,"F","60000.00","Concord","United States","California"
"Ruben Gomez",24348,"M","60000.00","Concord","United States","California"
"Jill Patterson",24349,"F","60000.00","San Diego","United States","California"
"Eduardo Simmons",24350,"M","40000.00","Fremont","United States","California"
"Brandon Yang",24351,"M","60000.00","Daly City","United States","California"
"Natalie Cox",24352,"F","60000.00","Lynnwood","United States","Washington"
"Andrea Ramirez",24353,"F","60000.00","San Carlos","United States","California"
"Bailey Cook",24354,"F","60000.00","Santa Cruz","United States","California"
"Jennifer Johnson",24355,"F","60000.00","Burlingame","United States","California"
"Wesley Zhang",24356,"M","80000.00","Burbank","United States","California"
"Eric Baker",24357,"M","60000.00","Beverly Hills","United States","California"
"Kevin Green",24358,"M","60000.00","San Gabriel","United States","California"
"Zachary Shan",24359,"M","60000.00","West Covina","United States","California"
"Carolyn Diaz",24360,"F","60000.00","Rhodes","Australia","New South Wales"
"Francisco Rodriguez",24361,"M","60000.00","Brisbane","Australia","Queensland"
"Marc Vazquez",24362,"M","60000.00","Melton","Australia","Victoria"
"Amanda Coleman",24363,"F","80000.00","Goulburn","Australia","New South Wales"
"Henry Prasad",24364,"M","90000.00","Cloverdale","Australia","South Australia"
"Mallory Navarro",24365,"F","60000.00","Rockhampton","Australia","Queensland"
"Melvin Luo",24366,"M","120000.00","North Ryde","Australia","New South Wales"
"Ross Sara",24367,"M","120000.00","Seaford","Australia","Victoria"
"Ebony Prasad",24368,"F","120000.00","Seaford","Australia","Victoria"
"Chelsea Lopez",24369,"F","80000.00","Lane Cove","Australia","New South Wales"
"Nathan West",24370,"M","80000.00","Cranbourne","Australia","Victoria"
"Leslie Navarro",24371,"F","90000.00","Seaford","Australia","Victoria"
"Teresa Jimenez",24372,"F","60000.00","Bendigo","Australia","Victoria"
"Steven Reed",24373,"M","60000.00","Melbourne","Australia","Victoria"
"Eugene Ma",24374,"M","60000.00","Silverwater","Australia","New South Wales"
"Pamela Schmidt",24375,"F","60000.00","North Ryde","Australia","New South Wales"
"Tommy Black",24376,"M","70000.00","Brisbane","Australia","Queensland"
"Richard Wood",24377,"M","70000.00","Melbourne","Australia","Victoria"
"Brandi Jiménez",24378,"F","70000.00","Port Macquarie","Australia","New South Wales"
"Noah Jenkins",24379,"M","70000.00","Brisbane","Australia","Queensland"
"Maurice Yuan",24380,"M","70000.00","Sunbury","Australia","Victoria"
"Danny Serrano",24381,"M","70000.00","Silverwater","Australia","New South Wales"
"Patrick Sanchez",24382,"M","60000.00","Cranbourne","Australia","Victoria"
"Ronald Prasad",24383,"M","30000.00","Lieusaint","France","Seine et Marne"
"Kenneth Pal",24384,"M","30000.00","Roubaix","France","Nord"
"Summer Perez",24385,"F","70000.00","Concord","United States","California"
"Isabella Walker",24386,"F","80000.00","Westminster","Canada","British Columbia"
"Elijah Mitchell",24387,"M","80000.00","Bellflower","United States","California"
"Maria Campbell",24388,"F","80000.00","Lynnwood","United States","Washington"
"Xavier Carter",24389,"M","80000.00","Salem","United States","Oregon"
"Carolyn Prasad",24390,"F","60000.00","Bellingham","United States","Washington"
"Marissa Washington",24391,"F","60000.00","Spring Valley","United States","California"
"Molly Prasad",24392,"F","60000.00","Cliffside","Canada","British Columbia"
"Joseph Johnson",24393,"M","50000.00","Everett","United States","Washington"
"Drew Raji",24394,"M","110000.00","Camarillo","United States","California"
"Alison Raji",24395,"F","110000.00","Concord","United States","California"
"Robyn Navarro",24396,"F","120000.00","Concord","United States","California"
"Henry Raman",24397,"M","120000.00","Coronado","United States","California"
"Brandon Davis",24398,"M","130000.00","Newport Beach","United States","California"
"Katherine Sanchez",24399,"F","80000.00","N. Vancouver","Canada","British Columbia"
"Kaitlyn Parker",24400,"F","100000.00","Tacoma","United States","Washington"
"Douglas Rana",24401,"M","110000.00","Bellflower","United States","California"
"Devin Alexander",24402,"M","170000.00","Woodland Hills","United States","California"
"Gabriel Wright",24403,"M","70000.00","Novato","United States","California"
"Bryant Chapman",24404,"M","70000.00","Burlingame","United States","California"
"Tara Rai",24405,"F","70000.00","Burlingame","United States","California"
"Reginald Vazquez",24406,"M","110000.00","Chula Vista","United States","California"
"Makayla Peterson",24407,"F","110000.00","Daly City","United States","California"
"Jordan Diaz",24408,"M","110000.00","Daly City","United States","California"
"Jackson Hernandez",24409,"M","120000.00","Imperial Beach","United States","California"
"Sara Sanders",24410,"F","100000.00","Yakima","United States","Washington"
"Johnathan Sanchez",24411,"M","110000.00","Beverly Hills","United States","California"
"Angelica Patterson",24412,"F","120000.00","Coronado","United States","California"
"Nathan Lewis",24413,"M","120000.00","Imperial Beach","United States","California"
"Adam Edwards",24414,"M","130000.00","Lemon Grove","United States","California"
"Kaylee Ward",24415,"F","70000.00","N. Vancouver","Canada","British Columbia"
"Christopher Harris",24417,"M","130000.00","San Diego","United States","California"
"Brandon Garcia",24418,"M","60000.00","Sooke","Canada","British Columbia"
"Kaylee Rivera",24419,"F","70000.00","Berkeley","United States","California"
"Marcus Price",24420,"M","80000.00","Puyallup","United States","Washington"
"Seth Kelly",24421,"M","90000.00","Olympia","United States","Washington"
"Thomas Lal",24422,"M","80000.00","Concord","United States","California"
"Alyssa Harris",24423,"F","130000.00","Los Angeles","United States","California"
"Morgan Russell",24424,"F","130000.00","West Covina","United States","California"
"Chloe Ward",24425,"F","90000.00","Bremerton","United States","Washington"
"Jordan Russell",24426,"M","110000.00","Beverly Hills","United States","California"
"Evelyn Fernandez",24427,"F","110000.00","City Of Commerce","United States","California"
"Hailey Price",24428,"F","110000.00","Coronado","United States","California"
"Isabelle Hughes",24429,"F","70000.00","Seattle","United States","Washington"
"Dalton Long",24430,"M","70000.00","Concord","United States","California"
"Abigail Morgan",24431,"F","60000.00","Royal Oak","Canada","British Columbia"
"Dalton Reed",24432,"M","60000.00","San Carlos","United States","California"
"Luis Simmons",24433,"M","70000.00","Los Angeles","United States","California"
"Jordan Butler",24434,"M","70000.00","Renton","United States","Washington"
"Mariah Hughes",24435,"F","70000.00","Beaverton","United States","Oregon"
"Jennifer Hernandez",24436,"F","70000.00","Grossmont","United States","California"
"Nicole Blue",24437,"F","70000.00","Newport Beach","United States","California"
"Xavier Robinson",24438,"M","40000.00","Lynnwood","United States","Washington"
"Xavier Watson",24439,"M","40000.00","Everett","United States","Washington"
"Jordyn Hughes",24440,"F","40000.00","Lincoln Acres","United States","California"
"Tristan Bryant",24441,"M","40000.00","Yakima","United States","Washington"
"Briana Gutierrez",24442,"F","40000.00","Biloxi","United States","Mississippi"
"Edgar Suri",24443,"M","40000.00","Chula Vista","United States","California"
"Elijah Griffin",24444,"M","40000.00","Grossmont","United States","California"
"Lauren Brooks",24445,"F","40000.00","West Covina","United States","California"
"Brianna Robinson",24446,"F","40000.00","Berkeley","United States","California"
"Cody Morgan",24447,"M","30000.00","Bellflower","United States","California"
"Amanda Lopez",24448,"F","30000.00","Kirkland","United States","Washington"
"Melanie Simmons",24449,"F","30000.00","Novato","United States","California"
"Isabel Long",24450,"F","30000.00","Sedro Woolley","United States","Washington"
"Bailey Morgan",24451,"F","30000.00","Seattle","United States","Washington"
"Megan Coleman",24452,"F","40000.00","Bellingham","United States","Washington"
"Cassie Yuan",24453,"F","60000.00","Newcastle","Australia","New South Wales"
"Carol Zhou",24454,"F","60000.00","East Brisbane","Australia","Queensland"
"Alejandro Chander",24455,"M","60000.00","Cranbourne","Australia","Victoria"
"Danny Ruiz",24456,"M","60000.00","Port Macquarie","Australia","New South Wales"
"Meghan Alonso",24457,"F","60000.00","Malabar","Australia","New South Wales"
"Frederick Rodriguez",24458,"M","70000.00","Warrnambool","Australia","Victoria"
"Kristin Carson",24459,"F","70000.00","Caloundra","Australia","Queensland"
"Willie Nara",24460,"M","60000.00","Townsville","Australia","Queensland"
"Ruth Sai",24461,"F","60000.00","Sydney","Australia","New South Wales"
"Donald Fernandez",24462,"M","60000.00","Wollongong","Australia","New South Wales"
"Kristen Zheng",24463,"F","90000.00","Lavender Bay","Australia","New South Wales"
"Joanna Torres",24464,"F","100000.00","Newcastle","Australia","New South Wales"
"Tara Andersen",24465,"F","60000.00","Melbourne","Australia","Victoria"
"Alexa Travers",24466,"F","60000.00","Caloundra","Australia","Queensland"
"Susan He",24467,"F","60000.00","Rhodes","Australia","New South Wales"
"Whitney Patel",24468,"F","70000.00","Cranbourne","Australia","Victoria"
"Roger Andersen",24469,"M","80000.00","Rhodes","Australia","New South Wales"
"Clarence Lal",24470,"M","80000.00","Springwood","Australia","New South Wales"
"Ricardo Chande",24471,"M","70000.00","Cranbourne","Australia","Victoria"
"Jake He",24472,"M","70000.00","North Ryde","Australia","New South Wales"
"Marco Rana",24473,"M","70000.00","Wollongong","Australia","New South Wales"
"Rosa Guo",24474,"F","70000.00","Sydney","Australia","New South Wales"
"Gilbert Zhou",24475,"M","70000.00","Bendigo","Australia","Victoria"
"Jared Brooks",24476,"M","60000.00","Cranbourne","Australia","Victoria"
"Warren Zeng",24477,"M","60000.00","Findon","Australia","South Australia"
"Lindsay Sharma",24478,"F","60000.00","Goulburn","Australia","New South Wales"
"Desirée Moreno",24479,"F","70000.00","Malabar","Australia","New South Wales"
"Kelli Liu",24480,"F","90000.00","Melton","Australia","Victoria"
"Dennis Sun",24481,"M","90000.00","Gold Coast","Australia","Queensland"
"Roy Ramos",24482,"M","100000.00","Melton","Australia","Victoria"
"Arthur Kapoor",24483,"M","30000.00","Coffs Harbour","Australia","New South Wales"
"Chad Anand",24484,"M","60000.00","Cloverdale","Australia","South Australia"
"Franklin Ma",24485,"M","40000.00","Coffs Harbour","Australia","New South Wales"
"Rafael Zeng",24486,"M","40000.00","Chula Vista","United States","California"
